,gameId,gameDuraton,blueWins,blueWardPlaced,blueKills,blueDeath,redWardPlaced,blueTotalGoldDiff,blueTotalMinionKillDiff,FirstTowerDiff,HeraldDiff,FirstDragonDiff,blueJungleMinionDiff,TotalAssistDiff,AvgLevelDiff
0,4247263043,1323,0,38,15,31,50,-12831,-93,-1,0,-1,-33,-46,-1.6000000000000014
1,4247155821,1317,1,57,19,8,46,3936,-40,-1,0,1,-23,23,0.7999999999999989
2,4243963257,932,0,28,5,20,40,-12435,-94,-1,0,-1,-25,-12,-1.5999999999999996
3,4241678498,2098,0,129,26,36,96,-7081,-58,-1,1,1,21,-27,-0.8000000000000007
4,4241538868,2344,1,114,27,40,100,359,37,1,1,1,25,-36,-0.3999999999999986
5,4241394461,1567,1,65,26,18,58,7941,21,1,0,-1,31,9,1.0
6,4233222221,1686,0,72,16,31,72,-10925,-39,1,-1,-1,-78,-29,-1.5999999999999996
7,4233113995,1588,1,79,36,20,76,11755,5,1,1,-1,24,58,1.5999999999999996
8,4231100932,1618,1,89,26,25,96,8034,58,1,1,-1,-15,10,0.3999999999999986
9,4229230455,1126,1,43,20,11,47,6950,25,1,0,1,23,21,0.8000000000000007
10,4228952659,1201,1,41,25,9,28,17199,81,1,0,1,82,16,1.799999999999999
11,4228244819,1262,1,49,21,7,43,7561,3,-1,0,1,16,33,1.3999999999999986
12,4227123625,1429,0,75,7,19,89,-81,37,1,0,-1,53,-32,-0.8000000000000007
13,4222795586,1628,1,59,35,22,61,11309,91,-1,1,-1,25,24,2.0
14,4222632382,1692,0,78,21,32,68,-7210,41,-1,-1,-1,-58,-24,-0.6000000000000014
15,4219736584,1903,0,75,26,37,87,-8979,18,1,-1,1,-4,-36,-1.4000000000000021
16,4219647531,1381,1,51,33,12,58,11790,-52,1,1,1,54,35,2.0
17,4219545724,1313,0,45,6,22,64,-3792,53,1,0,-1,-14,-34,-1.4000000000000004
18,4219463634,1660,1,66,30,13,78,11698,21,-1,1,1,56,39,1.8000000000000007
19,4217069365,1221,1,54,17,7,48,7812,19,1,0,1,51,25,1.4000000000000004
20,4216998163,1356,0,55,11,23,59,-6228,-27,-1,0,1,47,-28,-0.8000000000000007
21,4214820366,1491,1,69,25,13,56,10606,35,1,1,1,25,24,1.1999999999999993
22,4208036316,1209,0,55,8,15,55,-7863,-86,-1,0,-1,-12,-9,-1.200000000000001
23,4205806443,2224,1,111,25,29,113,-728,28,-1,-1,-1,-13,-35,0.1999999999999993
24,4205778093,984,1,55,26,3,33,15101,98,1,0,1,51,29,2.4000000000000004
25,4205718397,1222,1,53,23,9,49,6782,-3,-1,0,1,13,26,1.5999999999999996
26,4205609024,1835,1,85,26,13,88,12805,44,1,1,-1,-9,28,2.4000000000000004
27,4201063474,1437,0,75,19,24,70,-3403,-37,1,0,1,-54,-17,-1.5999999999999996
28,4201002719,1430,0,66,10,23,68,-7887,-53,-1,0,-1,-24,-28,-1.0
29,4200860184,1215,1,53,26,12,38,6411,21,1,0,1,9,21,1.1999999999999993
30,4191943697,2016,0,95,18,25,98,-5897,-60,-1,-1,-1,-22,-17,-1.6000000000000014
31,4191827488,1389,0,44,20,35,64,-9399,18,-1,-1,1,-52,-24,-1.8000000000000007
32,4186297500,1821,1,110,40,26,81,11513,-8,1,1,-1,53,11,1.4000000000000004
33,4186224914,1329,1,49,34,20,71,7401,-11,1,0,1,49,14,1.0
34,4186016838,2310,1,171,44,19,144,14193,-65,1,1,1,63,64,1.1999999999999993
35,4185880938,1822,1,105,35,17,111,12245,84,1,0,1,84,36,1.3999999999999986
36,4183509170,1401,1,55,24,15,53,4504,-37,-1,0,-1,7,18,0.5999999999999996
37,4183404231,1853,1,83,32,30,88,1271,70,-1,-1,-1,-23,19,0.5999999999999996
38,4169877994,1337,1,58,22,7,63,8400,1,1,0,1,-18,18,1.0
39,4169807983,1109,1,43,19,9,54,8321,82,1,0,1,19,18,1.4000000000000004
40,4169722149,1816,1,96,39,17,72,10812,-1,1,1,1,-17,28,1.1999999999999993
41,4169630150,962,1,51,11,2,45,7896,49,1,0,1,50,14,1.4000000000000004
42,4163513474,967,0,36,4,17,48,-9953,8,-1,0,1,-12,-22,-1.1999999999999993
43,4161051062,2012,0,93,18,19,102,-5241,-2,-1,-1,1,-23,-15,-1.0
44,4160473191,2323,0,127,26,42,143,-7664,24,1,-1,-1,-50,-15,-1.1999999999999993
45,4158940409,1459,0,73,12,21,64,-6637,-61,-1,0,-1,-44,-17,-1.200000000000001
46,4158792026,1845,1,71,35,25,85,5348,-61,1,-1,1,63,19,0.8000000000000007
47,4158690093,1725,0,70,22,47,94,-9839,3,1,-1,-1,-37,-49,-2.0
48,4150560544,951,0,37,1,12,43,-5935,-16,-1,0,1,27,-10,-0.8000000000000007
49,4150339701,1348,1,59,36,22,58,9216,29,1,0,1,77,18,1.4000000000000004
50,4150233255,1318,0,55,11,28,60,-9967,-18,-1,-1,-1,0,-43,-1.4000000000000004
51,4150072840,1172,1,47,21,9,49,7355,-3,1,0,-1,-5,25,1.0
52,4141879503,1925,1,89,23,23,111,4841,45,1,1,1,50,-8,-0.40000000000000036
53,4141536785,1458,0,60,14,26,65,-9402,-69,-1,-1,1,-21,-25,-1.6000000000000014
54,4139317309,1978,0,123,5,26,136,-16591,-12,-1,-1,1,-104,-49,-1.799999999999999
55,4137337572,1545,0,67,11,36,65,-14398,-55,1,-1,-1,-103,-38,-2.200000000000001
56,4137221905,1562,1,69,21,16,72,5065,-2,-1,1,-1,-12,20,1.4000000000000004
57,4136497029,1151,0,53,7,21,55,-9326,0,-1,0,-1,2,-40,-1.1999999999999993
58,4135625642,1736,0,90,17,36,85,-11346,29,-1,-1,1,-19,-42,-1.5999999999999996
59,4135631513,968,0,37,2,15,45,-8610,-82,-1,0,-1,-1,-11,-1.0
60,4135503804,2236,1,157,29,15,117,5131,-104,-1,1,-1,15,36,0.5999999999999979
61,4135463990,1373,1,58,17,8,54,8106,-26,1,1,-1,37,17,1.5999999999999996
62,4132750156,1182,1,40,23,10,51,10741,39,1,0,1,2,22,1.6000000000000014
63,4132662255,1224,0,44,8,18,61,-7767,19,-1,0,-1,-22,-24,-0.7999999999999989
64,4131438536,1413,0,63,13,26,64,-6750,21,1,-1,-1,-44,-32,-1.8000000000000007
65,4131349884,2036,0,97,28,40,100,-8348,-11,1,-1,-1,-2,-35,-1.8000000000000007
66,4131228269,1979,1,133,30,20,81,7964,-10,1,1,1,32,-2,0.1999999999999993
67,4131183383,1473,1,61,35,17,57,12733,66,1,1,-1,38,11,1.6000000000000014
