,gameId,Win,TotalGoldDiff,AvgLevelDiff,TotalAssistDiff,Kill,Death,TotalMinionDiff,TotalJungleMinionDiff,FirstTower,TowerKillDiff,HeraldDiff,FirstDragon,TotalWardsKillDiff
0,4247263043,0,-12831,-1.6000000000000014,-46,15,31,-93,-33,-1,-9,0,-1,-4
1,4241538868,1,359,-0.3999999999999986,-36,27,40,37,25,1,5,1,1,-8
2,4241394461,1,7941,1.0,9,26,18,21,31,1,6,0,-1,5
3,4233113995,1,11755,1.5999999999999996,58,36,20,5,24,1,9,1,-1,11
4,4231100932,1,8034,0.3999999999999986,10,26,25,58,-15,1,6,1,-1,24
5,4228952659,1,17199,1.799999999999999,16,25,9,81,82,1,9,0,1,4
6,4227123625,0,-81,-0.8000000000000007,-32,7,19,37,53,1,2,0,-1,-4
7,4222795586,1,11309,2.0,24,35,22,91,25,-1,7,1,-1,7
8,4219647531,1,11790,2.0,35,33,12,-52,54,1,7,1,1,-6
9,4217069365,1,7812,1.4000000000000004,25,17,7,19,51,1,3,0,1,-4
10,4214820366,1,10606,1.1999999999999993,24,25,13,35,25,1,10,1,1,8
11,4205806443,1,-728,0.1999999999999993,-35,25,29,28,-13,-1,3,-1,-1,5
12,4205778093,1,15101,2.4000000000000004,29,26,3,98,51,1,5,0,1,-2
13,4201063474,0,-3403,-1.5999999999999996,-17,19,24,-37,-54,1,-1,0,1,-9
14,4200860184,1,6411,1.1999999999999993,21,26,12,21,9,1,2,0,1,0
15,4191943697,0,-5897,-1.6000000000000014,-17,18,25,-60,-22,-1,3,-1,-1,9
16,4186224914,1,7401,1.0,14,34,20,-11,49,1,5,0,1,16
17,4186016838,1,14193,1.1999999999999993,64,44,19,-65,63,1,5,1,1,-10
18,4185880938,1,12245,1.3999999999999986,36,35,17,84,84,1,8,0,1,15
19,4169877994,1,8400,1.0,18,22,7,1,-18,1,5,0,1,10
20,4169722149,1,10812,1.1999999999999993,28,39,17,-1,-17,1,5,1,1,-11
21,4169630150,1,7896,1.4000000000000004,14,11,2,49,50,1,3,0,1,1
22,4160473191,0,-7664,-1.1999999999999993,-15,26,42,24,-50,1,-5,-1,-1,-7
23,4158792026,1,5348,0.8000000000000007,19,35,25,-61,63,1,6,-1,1,10
24,4150339701,1,9216,1.4000000000000004,18,36,22,29,77,1,7,0,1,-9
25,4150233255,0,-9967,-1.4000000000000004,-43,11,28,-18,0,-1,-4,-1,-1,-4
26,4150072840,1,7355,1.0,25,21,9,-3,-5,1,3,0,-1,1
27,4141879503,1,4841,-0.40000000000000036,-8,23,23,45,50,1,6,1,1,3
28,4135625642,0,-11346,-1.5999999999999996,-42,17,36,29,-19,-1,-7,-1,1,-6
29,4135463990,1,8106,1.5999999999999996,17,17,8,-26,37,1,3,1,-1,11
30,4132750156,1,10741,1.6000000000000014,22,23,10,39,2,1,7,0,1,12
31,4131183383,1,12733,1.6000000000000014,11,35,17,66,38,1,9,1,-1,-2
32,4130838785,1,11114,1.0,24,29,9,22,31,1,5,0,-1,7
33,4127304820,1,5921,0.8000000000000007,21,21,14,-11,36,1,4,1,1,3
34,4127195860,1,10459,1.5999999999999996,23,31,19,-5,-18,1,7,1,-1,5
35,4125363745,1,7430,1.4000000000000004,12,18,7,78,10,1,3,0,1,6
36,4125243537,0,-5590,-0.40000000000000036,-20,14,24,-12,-4,1,-4,1,1,-13
37,4125181013,0,-3447,-1.1999999999999993,-26,7,19,-69,19,1,0,0,-1,1
38,4124953438,1,8522,0.7999999999999989,0,27,21,61,-6,1,8,0,-1,-3
39,4124850963,1,10989,1.5999999999999996,10,30,20,128,69,1,4,1,1,7
40,4124417063,1,9260,0.8000000000000007,43,38,22,-54,0,1,7,1,1,-2
41,4124110363,1,8047,1.200000000000001,34,19,9,-3,-36,-1,4,1,1,-8
42,4120640812,1,3533,1.0,23,29,17,18,-55,-1,-1,0,1,9
43,4120513018,1,7632,1.799999999999999,27,15,2,51,0,1,1,0,1,9
44,4118495113,0,-7825,-1.4000000000000004,-11,6,19,-58,-5,-1,-3,0,-1,-6
45,4118306793,0,-8282,-1.1999999999999993,-20,20,26,-72,-66,1,-6,0,1,13
46,4104917522,1,4986,0.8000000000000007,19,20,15,-60,-25,-1,7,1,-1,-23
47,4104397715,0,-9936,-2.0,-44,22,34,-37,-39,-1,-4,-1,1,-14
48,4241451592,0,-5583,-0.8000000000000007,-8,35,36,-78,41,1,-2,-1,1,3
49,4240992890,1,9874,0.6000000000000014,21,29,18,14,52,1,9,0,1,-4
50,4240660159,1,10920,1.4000000000000004,18,17,4,53,44,1,3,0,1,2
51,4239909363,1,11925,1.8000000000000007,45,30,8,11,21,-1,4,1,-1,15
52,4237076217,1,12392,0.0,16,56,28,-48,108,1,5,-1,-1,17
53,4236209362,1,12750,1.1999999999999993,35,37,17,31,28,1,9,0,1,1
54,4236142587,0,-10198,-1.6000000000000014,-41,20,38,18,-80,1,-9,-1,-1,5
55,4235038935,0,-3435,-0.3999999999999986,2,26,27,-86,-62,-1,-1,1,1,-6
56,4232843469,1,14039,2.0,47,40,15,3,6,1,5,1,1,4
57,4232833087,1,14183,1.5999999999999996,28,37,11,74,-25,1,11,0,-1,3
58,4232135489,0,-11137,-1.799999999999999,-15,14,22,-117,-27,-1,-9,-1,-1,6
59,4231892073,1,12863,1.3999999999999986,35,33,13,-49,92,1,8,1,-1,13
60,4231554212,1,8616,1.4000000000000004,11,22,11,34,22,1,4,0,-1,-8
